absence_days,biology_score,career_aspiration,chemistry_score,economics_score,email,english_score,extracurricular_activities,first_name,gender,geography_score,history_score,id,last_name,math_score,part_time_job,physics_score,weekly_self_study_hours
3,63,Lawyer,97,,paul.casey.1@gslingacademy.com,90,True,Paul,male,87,90,1,Casey,73,False,93,27
2,99,Doctor,80,,danielle.sandoval.2@gslingacademy.com,73,False,Danielle,female,63,67,2,Sandoval,82,False,78,47
9,65,Government Officer,96,,tina.andrews.3@gslingacademy.com,76,True,Tina,female,87,91,3,Andrews,81,False,95,13
5,35,Artist,39,,tara.clark.4@gslingacademy.com,88,True,Tara,female,37,88,4,Clark,35,False,45,3
5,80,Unknown,65,,anthony.campos.5@gslingacademy.com,74,False,Anthony,male,76,77,5,Campos,84,False,65,10
2,72,Unknown,78,,kelly.wade.6@gslingacademy.com,80,False,Kelly,female,84,100,6,Wade,93,False,67,26
3,88,Software Engineer,73,,anthony.smith.7@gslingacademy.com,76,True,Anthony,male,64,96,7,Smith,98,False,89,25
2,84,Software Engineer,63,,george.short.8@gslingacademy.com,70,True,George,male,85,95,8,Short,92,True,94,30
6,81,,85,,stanley.gutierrez.9@gslingacademy.com,74,False,Stanley,male,72,68,9,Gutierrez,94,False,94,25
3,67,Teacher,71,,audrey.simpson.10@gslingacademy.com,87,True,Audrey,female,73,85,10,Simpson,98,False,88,24
2,71,Teacher,94,,gabrielle.white.11@gslingacademy.com,86,False,Gabrielle,female,66,82,11,White,65,False,97,25
1,87,Unknown,65,,clinton.randolph.12@gslingacademy.com,64,False,Clinton,male,61,61,12,Randolph,80,False,100,7
7,89,Business Owner,67,,patricia.gomez.13@gslingacademy.com,65,True,Patricia,female,77,59,13,Gomez,84,True,69,4
10,57,Business Owner,100,,pamela.jackson.14@gslingacademy.com,90,False,Pamela,female,63,94,14,Jackson,66,False,86,2
3,99,Doctor,83,,laura.jackson.15@gslingacademy.com,84,False,Laura,female,61,61,15,Jackson,76,False,67,39
6,79,Business Owner,64,,roger.wiley.16@gslingacademy.com,74,True,Roger,male,81,50,16,Wiley,81,False,78,0
3,80,Scientist,95,,vicki.thompson.17@gslingacademy.com,89,True,Vicki,female,72,64,17,Thompson,92,False,94,35
2,93,Software Engineer,79,,maxwell.davidson.18@gslingacademy.com,76,True,Maxwell,male,77,83,18,Davidson,98,False,90,26
1,95,Doctor,70,,jonathan.werner.19@gslingacademy.com,71,False,Jonathan,male,64,82,19,Werner,76,False,69,37
2,66,Software Engineer,75,,angela.rios.20@gslingacademy.com,72,False,Angela,female,100,65,20,Rios,94,False,89,35
3,73,Software Engineer,98,,tim.nichols.21@gslingacademy.com,97,False,Tim,male,72,90,21,Nichols,93,True,90,25
8,83,Business Owner,94,,kyle.willis.22@gslingacademy.com,88,True,Kyle,male,81,55,22,Willis,72,False,78,4
9,71,Business Owner,72,,shannon.simpson.23@gslingacademy.com,54,True,Shannon,female,80,72,23,Simpson,83,False,68,2
9,56,Business Owner,55,,sean.griffin.24@gslingacademy.com,80,True,Sean,male,73,76,24,Griffin,72,False,81,1
4,95,Software Engineer,88,,cassandra.west.25@gslingacademy.com,88,False,Cassandra,female,93,91,25,West,91,False,85,35
5,97,Doctor,69,,patricia.chavez.26@gslingacademy.com,84,False,Patricia,female,69,62,26,Chavez,75,False,82,22
3,63,Banker,94,,jason.williams.27@gslingacademy.com,90,False,Jason,male,90,77,27,Williams,100,False,80,34
0,81,Writer,79,,peter.gibbs.28@gslingacademy.com,90,True,Peter,male,85,85,28,Gibbs,64,False,93,23
1,76,Accountant,71,92.0,jeffrey.blanchard.29@gslingacademy.com,77,True,Jeffrey,male,83,65,29,Blanchard,95,False,99,17
3,30,Accountant,97,92.0,carol.hill.30@gslingacademy.com,74,False,Carol,female,73,100,30,Hill,96,False,61,19
0,88,Software Engineer,100,,angie.miller.31@gslingacademy.com,85,False,Angie,female,72,69,31,Miller,96,False,94,26
4,82,Designer,74,,cynthia.knapp.32@gslingacademy.com,79,True,Cynthia,female,72,68,32,Knapp,70,False,92,17
4,85,Accountant,89,86.0,timothy.bryant.33@gslingacademy.com,62,False,Timothy,male,62,96,33,Bryant,90,False,98,30
1,78,Banker,78,,phyllis.diaz.34@gslingacademy.com,77,False,Phyllis,female,68,84,34,Diaz,99,False,84,24
3,86,Unknown,80,,lisa.burns.35@gslingacademy.com,69,True,Lisa,female,62,93,35,Burns,90,False,91,31
1,80,Unknown,98,,kelly.farley.36@gslingacademy.com,66,False,Kelly,female,65,70,36,Farley,65,False,78,21
2,89,Construction Engineer,71,,ryan.lee.37@gslingacademy.com,91,True,Ryan,male,96,94,37,Lee,87,False,87,19
1,81,Construction Engineer,89,,michael.gilmore.38@gslingacademy.com,91,False,Michael,male,88,100,38,Gilmore,93,False,89,29
